method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsQDEIM,0,0.9,4,6,6,101,1.303640138,0.0186780690170656
SOPT,0,0.9,4,6,6,106,3.433732602,0.01776537381817537
clsSOPT,0,0.9,4,6,6,106,1.612673918,0.01800500964318699
QDEIM,0,0.9,4,6,6,106,1.878208694,0.01757952318579537
clsQDEIM,0,0.9,4,6,6,106,1.329696539,0.01866274214383475
SOPT,0,0.9,4,6,6,111,1.604138468,0.01776397831256689
clsSOPT,0,0.9,4,6,6,111,1.611188234,0.01800503185380671
QDEIM,0,0.9,4,6,6,111,1.970179493,0.01759622720829328
clsQDEIM,0,0.9,4,6,6,111,1.363356239,0.01866435720222555
SOPT,0,0.9,4,6,6,116,1.642840212,0.01776399945541903
clsSOPT,0,0.9,4,6,6,116,1.623476535,0.01800504146364778
QDEIM,0,0.9,4,6,6,116,2.04351132,0.01762553743480921
clsQDEIM,0,0.9,4,6,6,116,1.355066472,0.01867307440480501
SOPT,0,0.9,4,6,6,121,1.705241694,0.01776345423504149
clsSOPT,0,0.9,4,6,6,121,2.652216995,0.018005069060958
QDEIM,0,0.9,4,6,6,121,3.937186829,0.01768433493324057
clsQDEIM,0,0.9,4,6,6,121,1.358983605,0.01869122894807853
SOPT,0,0.9,4,6,6,126,2.006151772,0.0177632441591169
clsSOPT,0,0.9,4,6,6,126,1.731923319,0.01800499923267495
QDEIM,0,0.9,4,6,6,126,2.246105305,0.01770010799543686
clsQDEIM,0,0.9,4,6,6,126,1.355555839,0.01876091756902082
SOPT,0,0.9,4,6,6,131,1.802676412,0.01776303432428415
clsSOPT,0,0.9,4,6,6,131,1.82526899,0.01800486468579991
QDEIM,0,0.9,4,6,6,131,2.281236266,0.01772398715286475
clsQDEIM,0,0.9,4,6,6,131,1.360047388,0.01882170698945743
SOPT,0,0.9,4,6,6,136,1.872838965,0.01776188836363379
clsSOPT,0,0.9,4,6,6,136,1.854658239,0.01800482421913981
QDEIM,0,0.9,4,6,6,136,2.340385121,0.01778152494370632
clsQDEIM,0,0.9,4,6,6,136,1.411527761,0.01882297882766097
SOPT,0,0.9,4,6,6,141,1.988092324,0.01776192918291174
clsSOPT,0,0.9,4,6,6,141,1.925214251,0.01800480142722373
QDEIM,0,0.9,4,6,6,141,2.408908426,0.01780044980768086
clsQDEIM,0,0.9,4,6,6,141,1.453855055,0.01882384633653279
SOPT,0,0.9,4,6,6,146,1.956566946,0.01776156092375714
clsSOPT,0,0.9,4,6,6,146,1.940641583,0.01800480504050817
QDEIM,0,0.9,4,6,6,146,2.477906868,0.01786590262137243
clsQDEIM,0,0.9,4,6,6,146,1.465204284,0.01882445121744068
SOPT,0,0.9,4,6,6,151,1.993002679,0.01776043103294127
clsSOPT,0,0.9,4,6,6,151,1.991981098,0.01800482085079533
QDEIM,0,0.9,4,6,6,151,2.527555673,0.01792224636269746
clsQDEIM,0,0.9,4,6,6,151,1.459239929,0.01882739242970914
SOPT,0,0.9,4,6,6,156,2.030542937,0.01776020346631576
clsSOPT,0,0.9,4,6,6,156,1.953410491,0.01800485977718973
QDEIM,0,0.9,4,6,6,156,2.614709732,0.01805445009328149
clsQDEIM,0,0.9,4,6,6,156,1.458329935,0.01883681485317912
SOPT,0,0.9,4,6,6,161,2.086313343,0.01775997647403904
clsSOPT,0,0.9,4,6,6,161,2.007200566,0.01800497893401226
QDEIM,0,0.9,4,6,6,161,5.361144341,0.01803553702921407
clsQDEIM,0,0.9,4,6,6,161,1.460645218,0.01885534817467353
SOPT,0,0.9,4,6,6,166,2.121877225,0.01775949279717042
clsSOPT,0,0.9,4,6,6,166,2.049600628,0.01800513777521537
QDEIM,0,0.9,4,6,6,166,2.72671239,0.01801242303701374
clsQDEIM,0,0.9,4,6,6,166,1.486309887,0.01887409124240002
SOPT,0,0.9,4,6,6,171,2.284529644,0.01775893982253225
clsSOPT,0,0.9,4,6,6,171,2.104097814,0.01800532288906576
QDEIM,0,0.9,4,6,6,171,2.777011449,0.01803111090979964
clsQDEIM,0,0.9,4,6,6,171,1.486331094,0.01894487673809488
SOPT,0,0.9,4,6,6,176,2.215897224,0.01775895920067289
clsSOPT,0,0.9,4,6,6,176,2.130811352,0.01800559741022154
QDEIM,0,0.9,4,6,6,176,2.826968351,0.01796885199753252
clsQDEIM,0,0.9,4,6,6,176,1.547329168,0.0189722802990442
SOPT,0,0.9,4,6,6,181,2.275244889,0.01775888500517485
clsSOPT,0,0.9,4,6,6,181,2.258494821,0.0180057539441203
QDEIM,0,0.9,4,6,6,181,2.971036662,0.01798072167825186
clsQDEIM,0,0.9,4,6,6,181,1.571084599,0.01897314412279005
SOPT,0,0.9,4,6,6,186,2.227194085,0.01775874894073575
clsSOPT,0,0.9,4,6,6,186,2.237482739,0.01800573622524737
QDEIM,0,0.9,4,6,6,186,3.014831312,0.01799827784032429
clsQDEIM,0,0.9,4,6,6,186,1.502403585,0.01897408626228481
SOPT,0,0.9,4,6,6,191,2.320820757,0.01775795408223092
clsSOPT,0,0.9,4,6,6,191,2.318047827,0.01800528627555915
QDEIM,0,0.9,4,6,6,191,3.018878705,0.01799645804046363
clsQDEIM,0,0.9,4,6,6,191,1.532796578,0.01916582450467097
SOPT,0,0.9,4,6,6,196,2.307909498,0.01775764054358374
clsSOPT,0,0.9,4,6,6,196,2.327466712,0.01800439883951464
QDEIM,0,0.9,4,6,6,196,3.075488937,0.01799573907729898
clsQDEIM,0,0.9,4,6,6,196,1.523826681,0.01934651225364631
SOPT,0,0.9,4,6,6,201,2.348638425,0.01775803882280637
clsSOPT,0,0.9,4,6,6,201,2.394618134,0.01800351823285743
QDEIM,0,0.9,4,6,6,201,3.057512183,0.0179964552541027
clsQDEIM,0,0.9,4,6,6,201,1.486666685,0.01951131280486847
SOPT,0,0.9,4,6,6,206,2.376328223,0.01775815419038901
clsSOPT,0,0.9,4,6,6,206,2.4579902,0.01799070063505628
QDEIM,0,0.9,4,6,6,206,3.085955478,0.01797704220912344
clsQDEIM,0,0.9,4,6,6,206,1.544744772,0.01944393633061831
SOPT,0,0.9,4,6,6,211,2.425595008,0.01775831941211905
clsSOPT,0,0.9,4,6,6,211,2.440654907,0.01798900840793747
QDEIM,0,0.9,4,6,6,211,3.154332307,0.01794810115474343
clsQDEIM,0,0.9,4,6,6,211,1.534759383,0.01956553997381465
SOPT,0,0.9,4,6,6,216,2.475371257,0.01775866428583755
clsSOPT,0,0.9,4,6,6,216,2.470362785,0.01798769328625346
QDEIM,0,0.9,4,6,6,216,3.213979062,0.01793253675630137
clsQDEIM,0,0.9,4,6,6,216,1.5959732,0.0196274947705813
SOPT,0,0.9,4,6,6,221,2.502259333,0.01775937630969627
clsSOPT,0,0.9,4,6,6,221,2.512684925,0.01798632786200349
QDEIM,0,0.9,4,6,6,221,3.262530602,0.01793613212416598
clsQDEIM,0,0.9,4,6,6,221,1.637660597,0.01966639268569487
SOPT,0,0.9,4,6,6,226,2.553057324,0.01776026394207824
clsSOPT,0,0.9,4,6,6,226,2.551284929,0.01798437058087863
QDEIM,0,0.9,4,6,6,226,3.304614513,0.01792567326329203
clsQDEIM,0,0.9,4,6,6,226,1.704296416,0.01959213799813223
SOPT,0,0.9,4,6,6,231,2.552166047,0.01780974359400281
clsSOPT,0,0.9,4,6,6,231,2.595614341,0.01798351387619717
QDEIM,0,0.9,4,6,6,231,3.358682729,0.01791484030126844
clsQDEIM,0,0.9,4,6,6,231,1.757088432,0.01950894431024804
SOPT,0,0.9,4,6,6,236,2.58129752,0.01786135595303831
clsSOPT,0,0.9,4,6,6,236,2.642740504,0.01798273442604303
QDEIM,0,0.9,4,6,6,236,3.403649938,0.017909595125902
clsQDEIM,0,0.9,4,6,6,236,1.827114923,0.01965438624411424
SOPT,0,0.9,4,6,6,241,3.467304916,0.01786225758342342
clsSOPT,0,0.9,4,6,6,241,2.684778627,0.01798195916794192
QDEIM,0,0.9,4,6,6,241,3.527657109,0.01789626557429019
clsQDEIM,0,0.9,4,6,6,241,1.910722447,0.01961094740422817
SOPT,0,0.9,4,6,6,246,2.638375453,0.01786386163293395
clsSOPT,0,0.9,4,6,6,246,2.723293012,0.01798229423793582
QDEIM,0,0.9,4,6,6,246,3.475564353,0.01788965446593925
clsQDEIM,0,0.9,4,6,6,246,1.996795653,0.01965056581794135
SOPT,0,0.9,4,6,6,251,2.673159947,0.01786494161280296
clsSOPT,0,0.9,4,6,6,251,2.946736792,0.01798331835501306
QDEIM,0,0.9,4,6,6,251,3.558847044,0.01786575436902628
clsQDEIM,0,0.9,4,6,6,251,3.671525819,0.01964876343899373
SOPT,0,0.9,4,6,6,256,6.133356191,0.01786600815042123
clsSOPT,0,0.9,4,6,6,256,5.143839756,0.01798399111431096
QDEIM,0,0.9,4,6,6,256,4.194999519,0.01783197836082816
clsQDEIM,0,0.9,4,6,6,256,2.866259493,0.01966420098511904
SOPT,1,0.99,9,11,11,16,0.4589294349999999,0.002687243139360768
clsSOPT,1,0.99,9,11,11,16,5.432731276,0.002768130914729884
QDEIM,1,0.99,9,11,11,16,0.4724672329999999,0.003096133527567406
clsQDEIM,1,0.99,9,11,11,16,4.31277839,0.003014370938384485
SOPT,1,0.99,9,11,11,21,0.526946036,0.002688242437895773
clsSOPT,1,0.99,9,11,11,21,0.536780087,0.002706206940237774
QDEIM,1,0.99,9,11,11,21,0.5826644050000001,0.003054194744130396
clsQDEIM,1,0.99,9,11,11,21,0.635061783,0.00301355029615274
SOPT,1,0.99,9,11,11,26,0.613028366,0.002769155171983159
clsSOPT,1,0.99,9,11,11,26,4.345021408,0.002713302089754416
QDEIM,1,0.99,9,11,11,26,0.645169002,0.003019943732769048
clsQDEIM,1,0.99,9,11,11,26,0.626155065,0.003013437896587808
SOPT,1,0.99,9,11,11,31,0.675686319,0.002770663345522681
clsSOPT,1,0.99,9,11,11,31,0.715962709,0.002721168566645765
QDEIM,1,0.99,9,11,11,31,0.74265613,0.00301427234425545
clsQDEIM,1,0.99,9,11,11,31,0.7249229319999999,0.003013478457321229
SOPT,1,0.99,9,11,11,36,0.7363200249999999,0.002767564681538257
clsSOPT,1,0.99,9,11,11,36,0.810695983,0.002750536137756677
QDEIM,1,0.99,9,11,11,36,0.7977003309999999,0.003034157724948052
clsQDEIM,1,0.99,9,11,11,36,0.805141981,0.003013430894592302
SOPT,1,0.99,9,11,11,41,0.79473538,0.002766197325720025
clsSOPT,1,0.99,9,11,11,41,0.875918817,0.002748551938762997
QDEIM,1,0.99,9,11,11,41,0.871821592,0.003086530859400251
clsQDEIM,1,0.99,9,11,11,41,0.891973117,0.003013451309995358
SOPT,1,0.99,9,11,11,46,0.8574082119999999,0.00276438311913647
clsSOPT,1,0.99,9,11,11,46,0.964652261,0.002749412315439941
QDEIM,1,0.99,9,11,11,46,0.9226873330000001,0.003090752584107016
clsQDEIM,1,0.99,9,11,11,46,0.995532183,0.003013499174950692
SOPT,1,0.99,9,11,11,51,0.882332325,0.002763939909060411
clsSOPT,1,0.99,9,11,11,51,1.05204104,0.002749725617413144
QDEIM,1,0.99,9,11,11,51,1.00854933,0.003091196637699377
clsQDEIM,1,0.99,9,11,11,51,1.040454867,0.003002694599232836
SOPT,1,0.99,9,11,11,56,0.956267716,0.002763187055294298
clsSOPT,1,0.99,9,11,11,56,1.117648349,0.002749807646709346
QDEIM,1,0.99,9,11,11,56,1.404870384,0.00309358976655045
clsQDEIM,1,0.99,9,11,11,56,1.140399624,0.002997815690914037
SOPT,1,0.99,9,11,11,61,1.031513953,0.002762886862391179
clsSOPT,1,0.99,9,11,11,61,1.140283037,0.002749810265825884
QDEIM,1,0.99,9,11,11,61,1.174335875,0.003084402521072868
clsQDEIM,1,0.99,9,11,11,61,1.240601817,0.00298232278143934
SOPT,1,0.99,9,11,11,66,1.110853528,0.002762664054109674
clsSOPT,1,0.99,9,11,11,66,1.209562958,0.002749810265825881
QDEIM,1,0.99,9,11,11,66,1.264939066,0.003093522245237722
clsQDEIM,1,0.99,9,11,11,66,1.298972431,0.002982458966319021
SOPT,1,0.99,9,11,11,71,1.217067428,0.002762363542613129
clsSOPT,1,0.99,9,11,11,71,1.275573447,0.002749810265825889
QDEIM,1,0.99,9,11,11,71,1.308674718,0.002971964736228928
clsQDEIM,1,0.99,9,11,11,71,1.385011242,0.002989250219530203
SOPT,1,0.99,9,11,11,76,1.231183689,0.002762363542613121
clsSOPT,1,0.99,9,11,11,76,1.336823523,0.00274981026582589
QDEIM,1,0.99,9,11,11,76,1.417367684,0.002977860178896254
clsQDEIM,1,0.99,9,11,11,76,1.469193425,0.002990633424566518
SOPT,1,0.99,9,11,11,81,1.327612741,0.002762363542613127
clsSOPT,1,0.99,9,11,11,81,1.416438274,0.002749810265825891
QDEIM,1,0.99,9,11,11,81,1.502251326,0.002981197310276797
clsQDEIM,1,0.99,9,11,11,81,1.542673839,0.002991228660438366
SOPT,1,0.99,9,11,11,86,1.375005665,0.002762363542613126
clsSOPT,1,0.99,9,11,11,86,1.484853297,0.002749810265825883
QDEIM,1,0.99,9,11,11,86,1.570113177,0.002980815932075458
clsQDEIM,1,0.99,9,11,11,86,1.619422641,0.003007336344577926
SOPT,1,0.99,9,11,11,91,1.469781425,0.002762363542613146
clsSOPT,1,0.99,9,11,11,91,1.556949883,0.002749810265825885
QDEIM,1,0.99,9,11,11,91,1.627538682,0.002985574847832231
clsQDEIM,1,0.99,9,11,11,91,1.701814619,0.003008057380502068
SOPT,1,0.99,9,11,11,96,1.534728069,0.002762363542613127
clsSOPT,1,0.99,9,11,11,96,1.647151235,0.002749810265825887
QDEIM,1,0.99,9,11,11,96,1.709855377,0.002982502310486314
clsQDEIM,1,0.99,9,11,11,96,1.781469108,0.003012675849312643
SOPT,1,0.99,9,11,11,101,1.569734642,0.002762363542613137
clsSOPT,1,0.99,9,11,11,101,1.722990626,0.002749810265825887
QDEIM,1,0.99,9,11,11,101,1.791660311,0.002941421185862486
clsQDEIM,1,0.99,9,11,11,101,1.854223278,0.003016742993379745
SOPT,1,0.99,9,11,11,106,1.654850051,0.002762363542613113
clsSOPT,1,0.99,9,11,11,106,1.7575243,0.002749810265825887
QDEIM,1,0.99,9,11,11,106,1.858827568,0.002884335881863953
clsQDEIM,1,0.99,9,11,11,106,1.892233813,0.003016931454969661
SOPT,1,0.99,9,11,11,111,1.70203663,0.002762363542613134
clsSOPT,1,0.99,9,11,11,111,1.875478526,0.002749810265825886
QDEIM,1,0.99,9,11,11,111,1.924760126,0.00288061614255167
clsQDEIM,1,0.99,9,11,11,111,1.982806472,0.003016634930012518
SOPT,1,0.99,9,11,11,116,1.750228863,0.002762363542613141
clsSOPT,1,0.99,9,11,11,116,1.961282892,0.002749810265825888
QDEIM,1,0.99,9,11,11,116,1.910820193,0.002876825297071449
clsQDEIM,1,0.99,9,11,11,116,1.992671603,0.003018367362334231
SOPT,1,0.99,9,11,11,121,1.831601188,0.002762363542613129
clsSOPT,1,0.99,9,11,11,121,2.026772512,0.002749810265825888
QDEIM,1,0.99,9,11,11,121,1.968555496,0.002876991863942007
clsQDEIM,1,0.99,9,11,11,121,2.011854351,0.003017892187356732
SOPT,1,0.99,9,11,11,126,1.912777439,0.002762363542613127
clsSOPT,1,0.99,9,11,11,126,2.079283661,0.002749823354171605
QDEIM,1,0.99,9,11,11,126,2.005280199,0.002877577792811962
clsQDEIM,1,0.99,9,11,11,126,2.036292707,0.003017496486948585
SOPT,1,0.99,9,11,11,131,1.970546438,0.002762363542613125
clsSOPT,1,0.99,9,11,11,131,2.088628172,0.002749943227569551
QDEIM,1,0.99,9,11,11,131,2.05463548,0.00287373409002646
clsQDEIM,1,0.99,9,11,11,131,2.031112354,0.003017155593180012
SOPT,1,0.99,9,11,11,136,1.996218829,0.002762602293844395
clsSOPT,1,0.99,9,11,11,136,2.141715259,0.00275003967010069
QDEIM,1,0.99,9,11,11,136,2.114398733,0.002870852538747409
clsQDEIM,1,0.99,9,11,11,136,2.063158778,0.003016761805514715
SOPT,1,0.99,9,11,11,141,2.057289414,0.002760546222144564
clsSOPT,1,0.99,9,11,11,141,2.158331471,0.002750108951939141
QDEIM,1,0.99,9,11,11,141,2.174575424,0.002891876712176915
clsQDEIM,1,0.99,9,11,11,141,2.104835953,0.003016240066021267
SOPT,1,0.99,9,11,11,146,2.087790437,0.002760171062316721
clsSOPT,1,0.99,9,11,11,146,2.214397364,0.002749431539301841
QDEIM,1,0.99,9,11,11,146,2.245269391,0.002896901580152811
clsQDEIM,1,0.99,9,11,11,146,2.092498567,0.003015538652929093
SOPT,1,0.99,9,11,11,151,2.13626672,0.002759699428405823
clsSOPT,1,0.99,9,11,11,151,2.294571813,0.002748516247850312
QDEIM,1,0.99,9,11,11,151,2.318116372,0.002898178791303967
clsQDEIM,1,0.99,9,11,11,151,2.135332494,0.003015051305534643
SOPT,1,0.99,9,11,11,156,2.177392257,0.00275801207577226
clsSOPT,1,0.99,9,11,11,156,2.356236205,0.00274744316297677
QDEIM,1,0.99,9,11,11,156,2.395659291,0.002899964960520323
clsQDEIM,1,0.99,9,11,11,156,2.20024231,0.003013462513796763
SOPT,1,0.99,9,11,11,161,2.242502138,0.002757555759058952
clsSOPT,1,0.99,9,11,11,161,2.45472648,0.002747003947178756
QDEIM,1,0.99,9,11,11,161,2.464866899,0.002900518024770632
clsQDEIM,1,0.99,9,11,11,161,2.245434801,0.003047734687378705
SOPT,1,0.99,9,11,11,166,2.30036406,0.00275666717370657
clsSOPT,1,0.99,9,11,11,166,2.511802899,0.00274615027633658
QDEIM,1,0.99,9,11,11,166,2.515424125,0.002903179732357278
clsQDEIM,1,0.99,9,11,11,166,2.971849349,0.003047590758717296
SOPT,1,0.99,9,11,11,171,2.320526011,0.002756939346557886
clsSOPT,1,0.99,9,11,11,171,2.569963513,0.002745303203387471
QDEIM,1,0.99,9,11,11,171,5.551783715,0.002918764737727323
clsQDEIM,1,0.99,9,11,11,171,2.3033493,0.003047317774541942
SOPT,1,0.99,9,11,11,176,5.488452692,0.002756851354079951
clsSOPT,1,0.99,9,11,11,176,2.639277253,0.002744405632833125
QDEIM,1,0.99,9,11,11,176,2.609561547,0.002921341535558326
clsQDEIM,1,0.99,9,11,11,176,2.331265987,0.003050117899172914
SOPT,1,0.99,9,11,11,181,2.402949741,0.002755436061323897
clsSOPT,1,0.99,9,11,11,181,2.705355036,0.002743805529598363
QDEIM,1,0.99,9,11,11,181,2.637923174,0.002923531535225811
clsQDEIM,1,0.99,9,11,11,181,2.406743053,0.003048660544766401
SOPT,1,0.99,9,11,11,186,2.456731337,0.002754555171123635
clsSOPT,1,0.99,9,11,11,186,2.768805363,0.002743015523297992
QDEIM,1,0.99,9,11,11,186,2.674138517,0.002923324351755888
clsQDEIM,1,0.99,9,11,11,186,2.392989838,0.003048183631709479
SOPT,1,0.99,9,11,11,191,2.505952376,0.002754466790158448
clsSOPT,1,0.99,9,11,11,191,2.794694174,0.002742422181974506
QDEIM,1,0.99,9,11,11,191,2.702597023,0.00292268124508173
clsQDEIM,1,0.99,9,11,11,191,2.440438,0.003053285399878064
SOPT,1,0.99,9,11,11,196,2.54710048,0.002752524079998308
clsSOPT,1,0.99,9,11,11,196,2.834477195,0.002741058476693145
QDEIM,1,0.99,9,11,11,196,2.733773742,0.002921461619714292
clsQDEIM,1,0.99,9,11,11,196,2.451397335,0.003053215857397628
SOPT,1,0.99,9,11,11,201,2.602140254,0.002751675766862609
clsSOPT,1,0.99,9,11,11,201,2.839925352,0.002739908743025933
QDEIM,1,0.99,9,11,11,201,2.766239276,0.002916558384659188
clsQDEIM,1,0.99,9,11,11,201,2.442647417,0.003052370802405109
SOPT,1,0.99,9,11,11,206,2.636179762,0.00275083599351502
clsSOPT,1,0.99,9,11,11,206,2.843956166,0.002739215560764259
QDEIM,1,0.99,9,11,11,206,2.783866955,0.002918463778797884
clsQDEIM,1,0.99,9,11,11,206,2.486159747,0.003051281394951563
SOPT,1,0.99,9,11,11,211,2.72881753,0.002750985518325671
clsSOPT,1,0.99,9,11,11,211,2.85053109,0.002738334334332113
QDEIM,1,0.99,9,11,11,211,2.83057992,0.002919903228800025
clsQDEIM,1,0.99,9,11,11,211,2.500588594,0.003056154513092678
SOPT,1,0.99,9,11,11,216,2.714748233,0.002732829972506073
clsSOPT,1,0.99,9,11,11,216,2.882429505,0.002738458631267439
QDEIM,1,0.99,9,11,11,216,2.837180617,0.002920188455924714
clsQDEIM,1,0.99,9,11,11,216,2.527899689,0.003054084257538475
SOPT,1,0.99,9,11,11,221,2.753269772,0.002733136595870724
clsSOPT,1,0.99,9,11,11,221,2.942798746,0.002737914042776582
QDEIM,1,0.99,9,11,11,221,2.845085918,0.002919758790584343
clsQDEIM,1,0.99,9,11,11,221,2.575761299,0.003056230444454532
SOPT,1,0.99,9,11,11,226,2.774352919,0.002733090246882067
clsSOPT,1,0.99,9,11,11,226,3.01050185,0.002736581445678809
QDEIM,1,0.99,9,11,11,226,2.850324861,0.002921059192931264
clsQDEIM,1,0.99,9,11,11,226,2.598142842,0.003056189621151115
SOPT,1,0.99,9,11,11,231,2.847043172,0.002780576974496185
clsSOPT,1,0.99,9,11,11,231,3.015696873,0.002735238406509594
QDEIM,1,0.99,9,11,11,231,2.9360248,0.002929501116800968
clsQDEIM,1,0.99,9,11,11,231,2.631837532,0.003037037312975507
SOPT,1,0.99,9,11,11,236,2.886804854,0.002773164662228698
clsSOPT,1,0.99,9,11,11,236,3.046717896,0.0027347000716665
QDEIM,1,0.99,9,11,11,236,2.967897303,0.002937294634188252
clsQDEIM,1,0.99,9,11,11,236,2.657250361,0.002958572987118342
SOPT,1,0.99,9,11,11,241,2.968930509,0.002766627941840316
clsSOPT,1,0.99,9,11,11,241,3.114979046,0.0027333925823197
QDEIM,1,0.99,9,11,11,241,3.060100041,0.002935083227456969
clsQDEIM,1,0.99,9,11,11,241,2.69534729,0.002956320195043426
SOPT,1,0.99,9,11,11,246,3.784222073,0.002767812665419515
clsSOPT,1,0.99,9,11,11,246,3.176141046,0.002731056537873028
QDEIM,1,0.99,9,11,11,246,3.079840393,0.002931351885956641
clsQDEIM,1,0.99,9,11,11,246,2.708784252,0.002958014740858743
SOPT,1,0.99,9,11,11,251,3.081113181,0.00276813920870296
clsSOPT,1,0.99,9,11,11,251,3.19788612,0.002731176307764444
QDEIM,1,0.99,9,11,11,251,3.108605943,0.002926559960840189
